Date,SPY,QQQ,GLD,TLT,XOM
2018-01-03,0.006305232546986809,0.009669745626422926,-0.0026403330092135157,0.004769874478601335,0.019449852167202693
2018-01-04,0.004205698838590184,0.0017483712839194746,0.005114278310262769,-0.00015846698268142076,0.0013831891389017022
2018-01-05,0.006642680585039041,0.009992550409555902,-0.001036702137934486,-0.002859740696419673,-0.0008069865958705735
2018-01-08,0.0018261822272695302,0.00388356946761609,-0.0001596255390370604,-0.0006365582018157601,0.004486079410590554
2018-01-09,0.0022611129024642106,6.127073726366551e-05,-0.004639219643041588,-0.013462976397381508,-0.004255472886462412
2018-01-10,-0.0015307865351541928,-0.002340371576127672,0.002402270692406848,-0.0012109208122267168,-0.007983482484272855
2018-01-11,0.0072693560608941155,0.006820890282216504,0.003273877321212141,0.004111052023470111,0.009826102078064138
2018-01-12,0.006497887516014652,0.007322131813731871,0.012044492942167013,0.0016880568944092004,0.006763869771308848
2018-01-16,-0.0034241296727552995,-0.0028612056109917888,0.001652690627169873,0.004167381145423957,-0.006304113458414983
2018-01-17,0.009486663337808196,0.01073347731641023,-0.008132363237354055,-0.0013604264501103722,0.011773712253603233
2018-01-18,-0.0016823185030890083,0.00018079245464318666,-0.002222213448585594,-0.009333194143117876,-0.006498049128328378
2018-01-19,0.004539208362625003,0.0031307820066538814,0.0044394996120163946,-0.005268305911468357,-0.0032076763880424337
2018-01-22,0.008097872561254242,0.01064429193001787,0.0018177059354296304,0.0009750105222216994,0.012542930950696482
2018-01-23,0.0021203036926597395,0.00823427859940592,0.004961985943158681,0.004293295389246544,0.0005662743703524741
2018-01-24,-0.0003881997631676541,-0.006510731348033548,0.012104345577545294,-0.005430833926262112,0.0026012939795389913
2018-01-25,0.00042353895344381207,-0.00035643816811716433,-0.006697849027902464,0.008175063028187858,-0.0018089724952677097
2018-01-26,0.01151128780492199,0.015209019483850965,0.0007811756386790387,-0.0037144278418769546,0.007104099889289072
2018-01-29,-0.006651791167571602,-0.004867361556575419,-0.005637857183470335,-0.006983203146623608,-0.011186450828338287
2018-01-30,-0.010310329444970935,-0.008264924609176117,-0.004328123373076199,-0.005883617660902166,-0.014074415784546015
2018-01-31,0.000496703781855077,0.0041411436088319604,0.00668108957049156,0.005883617660902104,0.005974449952685202
2018-02-01,-0.0011357385723135198,-0.008536771494900435,0.0032848909860550284,-0.014598393002243836,0.02007219578964016
2018-02-02,-0.02201007357005934,-0.020146785847196553,-0.013204686797240324,-0.009322366318228982,-0.05231594991417757
2018-02-05,-0.042722365578046546,-0.04022517539861261,0.0025286437555192493,0.009405117731656578,-0.058585966185816525
2018-02-06,0.019510648664436733,0.026154104746948733,-0.01055189964568088,-0.006232836636167309,-0.01733442804558633
2018-02-07,-0.0054395826247112325,-0.013022633454510905,-0.004716772083453344,-0.009548343265022092,-0.01816008966779554
2018-02-08,-0.038230583621521035,-0.04311072367719714,0.001521419504394612,-0.0010949116047231635,-0.011372100474139137
2018-02-09,0.01490971343105251,0.017121948090201025,-0.0016817358427458674,-0.006339003950447076,0.006354230864725071
2018-02-12,0.014577818014876478,0.017589346976400716,0.0047973715177869495,0.004399392386630561,0.00841000805157824
2018-02-13,0.0024841781516169964,0.005148258600798261,0.005647253596785453,0.004464070122795697,-0.0015713492784165766
2018-02-14,0.013406351053353645,0.01855018876509636,0.0169088525197643,-0.011155651819260915,0.0020947284950569105
2018-02-15,0.012679129780459934,0.01839403863468823,0.0011691607653979673,0.0033936466966980553,-0.0032752249913206117
