,SPY,QQQ,GLD,TLT,XOM
SPY,1.0,0.9330561834949312,0.09429914962921675,-0.19861633861691766,0.5663266052143826
QQQ,0.9330561834949312,1.0,0.10677415959230263,-0.1296908281192676,0.38402418674908495
GLD,0.09429914962921675,0.10677415959230263,1.0,0.3014368818029453,0.05947464504519134
TLT,-0.19861633861691766,-0.1296908281192676,0.3014368818029453,1.0,-0.27343487539189193
XOM,0.5663266052143826,0.38402418674908495,0.05947464504519134,-0.27343487539189193,1.0
