Date,SPY,QQQ,GLD,TLT,XOM
2018-01-03,0.006304973466936123,0.009669746604966403,-0.0026403330092135157,0.004770108155791931,0.019449789131881084
2018-01-04,0.0042057625611281865,0.0017481703958297974,0.005114278310262769,-0.00015862205073583445,0.0013834461537351264
2018-01-05,0.006642044051857426,0.009992553408262156,-0.001036702137934486,-0.0028591968481123543,-0.0008068579700058558
2018-01-08,0.0018269445863006851,0.003883768918280535,-0.0001596255390370604,-0.0006367913709253598,0.004485758392717319
2018-01-09,0.0022609857106856593,6.156816497532635e-05,-0.004639219643041588,-0.01346305314837259,-0.004255087681586556
2018-01-10,-0.001531103372518702,-0.002340072993092392,0.002402270692406848,-0.0012109996723789571,-0.007983868476928188
2018-01-11,0.007269420385672931,0.006820590812766528,0.003273877321212141,0.004111209287021351,0.009826166839318787
2018-01-12,0.006497950870731503,0.007322130373660916,0.012044492942167013,0.0016880566291634172,0.006763997162756872
2018-01-16,-0.003424255394935812,-0.002861303307550324,0.001652690627169873,0.004167615010560407,-0.006304112652788137
2018-01-17,0.009486416469987937,0.010733281849336666,-0.008132363237354055,-0.0013609738718131377,0.011773710753098425
2018-01-18,-0.0016820079057386808,0.00018079247221617205,-0.002222213448585594,-0.009332721532352943,-0.006498685915185751
2018-01-19,0.004539580830497529,0.003130879198117015,0.0044394996120163946,-0.005268224811539689,-0.003207486128424062
2018-01-22,0.008097747593487666,0.010644483653635078,0.0018177059354296304,0.0009751688412963054,0.012543124443734087
2018-01-23,0.0021203034322062383,0.008233896724358465,0.004961985943158681,0.004293055970243309,0.0005660219096067347
2018-01-24,-0.00038869073692088745,-0.006510349803146247,0.012104345577545294,-0.005430832205164398,0.0026016098088773626
2018-01-25,0.00042396857118948573,-0.0003561509074197813,-0.006697849027902464,0.008175060440958754,-0.0018087833601389447
2018-01-26,0.011511226453247148,0.015208917973214995,0.0007811756386790387,-0.0037150593876365315,0.007103848450213349
2018-01-29,-0.006652035384648605,-0.004867833446038405,-0.005637857183470335,-0.006982886787236828,-0.01118607219097477
2018-01-30,-0.010309838479893807,-0.008264734330983828,-0.004328123373076199,-0.005883697774949294,-0.014074155237898718
2018-01-31,0.000496580346597589,0.004141048076583856,0.00668108957049156,0.005883697774949199,0.0059743830352876085
