,SPY,QQQ,GLD,TLT,XOM
SPY,1.0,0.9330563699020086,0.09429948667559304,-0.19861363180098307,0.5663262245932829
QQQ,0.9330563699020086,1.0,0.10677433864530565,-0.12968914435087062,0.38402428067711347
GLD,0.09429948667559304,0.10677433864530565,1.0,0.3014354328325964,0.059474681628153545
TLT,-0.19861363180098307,-0.12968914435087062,0.3014354328325964,1.0,-0.2734337015935715
XOM,0.5663262245932829,0.38402428067711347,0.059474681628153545,-0.2734337015935715,1.0
